AGNO;RBD;DGV_RBD;NOM_RBD;COD_REG_RBD;NOM_REG_RBD_A;COD_PRO_RBD;COD_COM_RBD;NOM_COM_RBD;COD_DEPROV_RBD;NOM_DEPROV_RBD;COD_DEPE;COD_DEPE2;RURAL_RBD;ESTADO_ESTAB;DC_A;HH_A;DC_UTP;HH_UTP;DC_PDIR;HH_PDIR;DC_DIR;HH_DIR;DC_OES;HH_OES;DC_OF;HH_OF;DC_JUTP;HH_JUTP;DC_IG;HH_IG;DC_OR;HH_OR;DC_DIR_SOST;HH_DIR_SOST;DC_TP_SOST;HH_TP_SOST;DC_SUP_SOST;HH_SUP_SOST;DC_SUBDIR;HH_SUBDIR;DC_PROF_ENC;HH_PROF_ENC;DC_EDUC_TRAD;HH_EDUC_TRAD;DC_TOT;HH_TOT
2024;16497;6;COLEGIO ANDES DE TALCA;7;MAULE;71;7101;TALCA;72;TALCA;4;3;0;1;25;826;1;37;1;44;1;44;1;44;0;0;0;0;0;0;1;30;0;0;0;0;0;0;0;0;0;0;0;0;30;1025
2024;16498;4;COLEGIO ZAPALLAR  S.A.;7;MAULE;73;7301;CURICÓ;71;CURICÓ;4;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2024;16499;2;JARDIN INFANTIL PIN Y PON;7;MAULE;73;7301;CURICÓ;71;CURICÓ;4;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2024;16501;8;JARDIN INFANTIL CAMPANITA;7;MAULE;71;7101;TALCA;72;TALCA;4;3;0;1;7;272;0;0;0;0;1;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;282
2024;16502;6;COLEGIO CORDILLERA;7;MAULE;73;7304;MOLINA;71;CURICÓ;3;2;0;1;26;916;0;0;0;0;1;44;1;18;0;0;2;88;0;0;0;0;0;0;0;0;0;0;1;44;0;0;0;0;31;1110
2024;16503;4;JARDIN INFANTIL EL ARCA;7;MAULE;73;7308;TENO;71;CURICÓ;3;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2024;16504;2;CENTRO EDUCACIONAL BUBI;7;MAULE;73;7308;TENO;71;CURICÓ;3;2;0;1;2;88;0;0;0;0;1;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;123
2024;16506;9;ESCUELA CHACARILLAS;7;MAULE;71;7102;CONSTITUCIÓN;72;TALCA;2;1;0;1;26;1012;0;0;1;44;1;44;2;86;1;44;1;44;1;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33;1318
2024;16507;7;JUAN SALVADOR COLLEGE;7;MAULE;74;7406;SAN JAVIER;73;LINARES;3;2;0;1;19;746;1;44;0;0;1;44;2;81;0;0;0;0;1;44;0;0;0;0;0;0;0;0;1;44;0;0;0;0;25;1003
2024;16508;5;COLEGIO HISPANOCHILENO EL PILAR;7;MAULE;73;7301;CURICÓ;71;CURICÓ;3;2;0;1;65;2535;0;0;1;44;1;44;1;8;0;0;0;0;1;44;0;0;0;0;0;0;0;0;0;0;0;0;1;44;70;2719
2024;16509;3;COLEGIO CENTRO EDUCACIONAL VYGOTSKY;7;MAULE;73;7301;CURICÓ;71;CURICÓ;3;2;1;1;23;903;0;0;1;44;1;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;991
2024;16510;7;ESCUELA ENRIQUE WEISS;7;MAULE;74;7401;LINARES;73;LINARES;3;2;0;1;7;246;0;0;0;0;1;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;290
2024;16511;5;JARDIN INFANTIL NUBE LUZ;7;MAULE;73;7302;HUALAÑÉ;71;CURICÓ;3;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2024;16512;3;COLEGIO DIEGO THOMPSON;7;MAULE;73;7301;CURICÓ;71;CURICÓ;3;2;0;1;46;1798;1;44;0;0;1;44;2;75;0;0;1;44;1;44;0;0;0;0;0;0;0;0;1;44;0;0;0;0;53;2093
2024;16513;1;CENTRO EDUCACIONAL ADONAY;7;MAULE;73;7301;CURICÓ;71;CURICÓ;3;2;0;1;16;535;0;0;0;0;1;44;0;0;0;0;1;44;0;0;0;0;0;0;0;0;0;0;1;44;0;0;0;0;19;667
2024;16515;8;COLEGIO SAN JACINTO;7;MAULE;71;7101;TALCA;72;TALCA;3;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2024;16516;6;JARDIN INFANTIL LOS PEQUES DE ADONAY;7;MAULE;73;7301;CURICÓ;71;CURICÓ;3;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2024;16517;4;COLEGIO RENACER;7;MAULE;74;7401;LINARES;73;LINARES;3;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2024;16518;2;COLEGIO PARTICULAR SEBASTIAN;7;MAULE;74;7401;LINARES;73;LINARES;3;2;0;1;16;587;0;0;1;44;1;44;0;0;0;0;1;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;719
2024;16519;0;ESC. TEC. PROFESIONAL AGRARIA LA MONTANA DE T;7;MAULE;73;7308;TENO;71;CURICÓ;3;2;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2024;16520;4;COLEGIO KAIROS;7;MAULE;73;7301;CURICÓ;71;CURICÓ;3;2;0;1;22;829;0;0;1;40;1;44;3;132;0;0;0;0;0;0;1;42;0;0;0;0;0;0;0;0;0;0;0;0;28;1087
2024;16521;2;ESC.ESPECIAL DE TRASTORNO DE LA COMUNICACION;7;MAULE;71;7101;TALCA;72;TALCA;3;2;0;1;4;145;0;0;0;0;1;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;189
2024;16522;0;COLEGIO INMACULADO CORAZON DE JESUS;7;MAULE;73;7301;CURICÓ;71;CURICÓ;3;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2024;16523;9;ESC.TRASTORNOS DE LENGUAJE HANS CHRISTIAN AND;7;MAULE;73;7301;CURICÓ;71;CURICÓ;3;2;0;1;5;156;0;0;0;0;1;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;194
2024;16524;7;COLEGIO LUCILA GODOY ALCAYAGA;7;MAULE;71;7101;TALCA;72;TALCA;3;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2024;16525;5;ESCUELA DE LENGUAJE TALCA;7;MAULE;71;7101;TALCA;72;TALCA;3;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2024;16526;3;COLEGIO LOS ALERCES;7;MAULE;71;7101;TALCA;72;TALCA;3;2;0;1;22;788;0;0;0;0;1;44;0;0;0;0;2;88;2;88;0;0;0;0;0;0;0;0;1;44;0;0;0;0;28;1052
2024;16527;1;JARDIN INFANTIL MININOS;7;MAULE;71;7101;TALCA;72;TALCA;3;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2024;16529;8;ESC.TEC PROFESIONAL AGRARIA PADRE LOUIS LETSC;7;MAULE;73;7308;TENO;71;CURICÓ;3;2;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2024;16530;1;ESC.ESPECIAL TRASTORNOS DE LA COMUNIC. MIS SO;7;MAULE;71;7102;CONSTITUCIÓN;72;TALCA;3;2;0;1;8;303;0;0;1;44;1;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;391
2024;16532;8;JARDIN INFANTIL GOFITO;7;MAULE;71;7101;TALCA;72;TALCA;4;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2024;16533;6;CENTRO DE LENGUAJE Y PSICOPEDAGOGIA DALUZ;7;MAULE;71;7101;TALCA;72;TALCA;3;2;0;1;8;216;0;0;0;0;1;44;1;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;274
2024;16534;4;JARDIN INFANTIL ABC;7;MAULE;71;7109;SAN CLEMENTE;72;TALCA;3;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2024;16535;2;COLEGIO SAN MARCOS;7;MAULE;73;7301;CURICÓ;71;CURICÓ;3;2;0;1;42;1469;0;0;1;44;1;44;0;0;0;0;0;0;0;0;1;44;0;0;0;0;0;0;0;0;0;0;0;0;45;1601
2024;16536;0;JARDIN INFANTIL MIS PRIMEROS PASOS;7;MAULE;73;7304;MOLINA;71;CURICÓ;3;2;0;1;2;76;1;12;0;0;1;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;112
2024;16537;9;ESCUELA DE LENGUAJE CEL;7;MAULE;73;7301;CURICÓ;71;CURICÓ;3;2;0;1;3;132;0;0;0;0;1;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;11;5;187
2024;16538;7;D.I.L.O ESC. DE TRASTORNOS DE LA COMUNICACION;7;MAULE;71;7101;TALCA;72;TALCA;3;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2024;16539;5;COLEGIO  SAN  GABRIEL;7;MAULE;73;7304;MOLINA;71;CURICÓ;3;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2024;16540;9;COLEGIO CAUQUENES;7;MAULE;72;7201;CAUQUENES;74;CAUQUENES;3;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2024;16541;7;CENTRO EDUCATIVO PEUMAYEN;7;MAULE;73;7301;CURICÓ;71;CURICÓ;3;2;0;1;63;2552;0;0;0;0;1;44;0;0;0;0;2;88;2;82;1;44;0;0;0;0;0;0;0;0;0;0;0;0;69;2810
2024;16542;5;ESCUELA DE LENGUAJE MAZAPAN;7;MAULE;73;7301;CURICÓ;71;CURICÓ;3;2;0;1;3;132;0;0;0;0;1;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;176
2024;16543;3;ESCUELA PARVULOS ALDEA DE LOS NINOS;7;MAULE;71;7101;TALCA;72;TALCA;3;2;0;1;0;0;0;0;0;0;1;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;33
2024;16544;1;ESCUELA DE LENGUAJE PAUL HARRIS;7;MAULE;73;7308;TENO;71;CURICÓ;3;2;0;1;3;110;0;0;0;0;1;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;154
2024;16546;8;CENTRO EDUCACIONAL INGLES;7;MAULE;73;7306;ROMERAL;71;CURICÓ;3;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2024;16547;6;COLEGIO PADRE HUGO BYRNE;7;MAULE;73;7302;HUALAÑÉ;71;CURICÓ;3;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2024;16548;4;MI JARDIN Y YO;7;MAULE;71;7101;TALCA;72;TALCA;3;2;0;1;7;241;1;44;0;0;1;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;329
2024;16549;2;COLEGIO PALENCIA SC.;7;MAULE;73;7301;CURICÓ;71;CURICÓ;3;2;0;1;38;1395;1;44;0;0;1;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;1483
2024;16550;6;COLEGIO SAN JORGE;7;MAULE;71;7101;TALCA;72;TALCA;4;3;0;1;22;719;2;84;1;44;1;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;891
2024;16551;4;LICEO BICENTENARIO POLIVALENTE DE RAUCO;7;MAULE;73;7305;RAUCO;71;CURICÓ;2;1;1;1;20;759;0;0;2;88;1;44;3;69;0;0;1;44;0;0;1;27;0;0;0;0;0;0;0;0;0;0;0;0;28;1031
2024;16552;2;ESCUELA LENGUAJE BELEN;7;MAULE;71;7101;TALCA;72;TALCA;3;2;0;1;2;48;0;0;0;0;1;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;92
2024;16553;0;ESCUELA DE LENGUAJE MANANTIAL;7;MAULE;71;7101;TALCA;72;TALCA;3;2;0;1;3;132;0;0;0;0;1;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;176
2024;16554;9;ESCUELA DE LENGUAJE CEL;7;MAULE;73;7304;MOLINA;71;CURICÓ;3;2;0;1;10;384;0;0;0;0;1;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;26;12;454
2024;16555;7;ESCUELA DE PARVULO LOS PATITOS;7;MAULE;71;7101;TALCA;72;TALCA;3;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
